name,min_life_expectancy,max_life_expectancy,min_weight,max_weight,family_friendly,shedding,general_health,playfulness,children_friendly,grooming,intelligence,other_pets_friendly,img_link,hypoallergenic,origin,length_from,length_to
Abyssinian,9.0,15.0,6.0,10.0,3,3,2,5,5,3,5,5,https://dogell.b-cdn.net/uploads/breed/thumb_abyssinian.png,False,Ethiopia,12,16
Aegean,9.0,10.0,7.0,10.0,5,3,4,4,5,4,4,3,https://dogell.b-cdn.net/uploads/breed/thumb_aegean.png,False,Greece,14,15
American Bobtail,11.0,15.0,8.0,13.0,4,4,4,4,4,3,4,4,https://dogell.b-cdn.net/uploads/breed/thumb_american-bobtail.png,False,United States,15,16
American Shorthair,15.0,20.0,7.0,12.0,3,3,4,2,4,4,4,3,https://dogell.b-cdn.net/uploads/breed/thumb_american-shorthair.png,False,United States,12,15
American Wirehair,14.0,18.0,8.0,15.0,4,3,5,3,4,5,4,3,https://dogell.b-cdn.net/uploads/breed/thumb_american-wirehair.png,False,United States,18,23
Arabian Mau,12.0,14.0,8.0,16.0,4,2,4,4,4,5,4,3,https://dogell.b-cdn.net/uploads/breed/thumb_arabian-mau.png,False,Iran,14,17
Asian,15.0,15.0,10.0,10.0,5,1,4,4,5,3,4,4,https://dogell.b-cdn.net/uploads/breed/thumb_asian.png,False,United Kingdom,15,18
Australian Mist,15.0,18.0,8.0,15.0,5,2,4,4,4,4,4,3,https://dogell.b-cdn.net/uploads/breed/thumb_australian-mist.png,False,Australia,14,15
Bambino,9.0,15.0,4.0,9.0,4,1,3,4,4,2,3,3,https://dogell.b-cdn.net/uploads/breed/thumb_bambino.png,False,United States,10,13
Bengal Cats,10.0,16.0,8.0,17.0,5,2,3,5,5,4,5,5,https://dogell.b-cdn.net/uploads/breed/thumb_bengal.png,True,United States,17,22
Birman,12.0,16.0,6.0,12.0,5,3,2,4,5,2,4,5,https://dogell.b-cdn.net/uploads/breed/thumb_birman.png,False,France,15,18
Bombay,12.0,20.0,8.0,15.0,4,2,4,4,4,4,4,4,https://dogell.b-cdn.net/uploads/breed/thumb_bombay.png,False,United States,13,20
Brazilian Shorthair,14.0,20.0,10.0,22.0,4,1,3,4,5,4,4,4,https://dogell.b-cdn.net/uploads/breed/thumb_brazilian-shorthair.png,False,Brazil,15,21
